employee_id;month_info_id;sum
11;1;1997,25
12;1;2807,76
13;1;1894,94
14;1;3575,14
15;1;2075,2
16;1;2602,77
17;1;2471,77
18;1;2326,93
19;1;2860,7
20;1;2935,04
21;1;5638,64
22;1;4252,08
23;1;2055,15
24;1;2124,5
25;1;4858,9
26;1;4840,39
27;1;3514,17
28;1;4556,21
29;1;5352,84
30;1;4745,13
31;1;1040,93
32;1;1003,93
33;1;1429,2
34;1;2568,5
35;1;2923,7
36;1;5560
37;1;4618,42
38;1;4328,96
39;1;3793,09
40;1;1548,61
41;1;1073,44
42;1;5110,67
43;1;2267,58
44;1;4701,28
45;1;4383,57
46;1;1726,61
47;1;5800,54
48;1;3530,18
49;1;3990,94
50;1;2849,11
51;1;4767,82
52;1;3753,6
53;1;2863,26
54;1;4111,78
55;1;2484,35
56;1;4144,13
57;1;3976,65
58;1;2443,19
59;1;5211,61
60;2;2326,68
61;2;3554,14
62;2;1097,85
63;2;3165,39
64;2;2224,73
65;2;5752,92
66;2;5079,34
67;2;4758,76
68;2;3517,81
69;2;3701,59
70;2;2702,25
71;2;1426,47
72;2;1246,9
73;2;4075,35
74;2;2074,69
75;2;1911,31
76;2;5132,2
77;2;2091,47
78;2;2721,51
79;2;4591,1
80;2;2523,79
81;2;1525,54
82;2;3400,72
83;2;2009,79
84;2;2240,49
85;2;4279,9
86;2;3228,91
87;2;1677,37
88;2;5632,48
89;2;2818,23
90;2;1565,14
91;2;3195,95
92;2;1542,18
93;2;5422,02
94;2;3675,69
95;2;1115,76
96;2;3512,81
97;2;2523,8
98;2;1439,45
99;2;5565,42
100;2;2869,94
101;2;5816,49
102;2;5553,45
103;2;3618,62
104;2;4311,47
105;2;4019,5
106;2;3167,55
107;2;4433,47
108;2;1675
109;2;3890,85
110;3;2566,07
111;3;3721,38
112;3;4217,42
113;3;5466,13
114;3;3738,13
115;3;4972,23
116;3;5995,82
117;3;3395,15
118;3;2571,2
119;3;3919,7
120;3;1013,04
121;3;1319,06
122;3;3020,07
123;3;1488,6
124;3;2211,51
125;3;2401,38
126;3;3784,02
127;3;1095,23
128;3;1982,03
129;3;2524,6
130;3;4945,93
131;3;5497,46
132;3;3318,43
133;3;5256,44
134;3;3667,57
135;3;5993,82
136;3;4658,36
137;3;4380,28
138;3;3072,77
139;3;3686,66
140;3;4682,6
141;3;5649,47
142;3;5519,48
143;3;2442,74
144;3;1117,7
145;3;5186,19
146;3;1857,86
147;3;4799,65
148;3;4646,63
149;3;4917,81
150;3;5627,1
151;3;2647,37
