employee_id;project_id;month_info_id;sum
11;1653;69;4357,48
12;952;70;5510,28
13;3996;6;3216,12
14;9878;15;5728,12
15;7;112;5130,07
16;6718;74;2978,25
17;8753;23;2036,08
18;5064;178;1963,03
19;5161;222;5468,14
20;1497;173;4546,05
21;7137;113;5261,06
22;5376;208;5866,57
23;4640;194;5787,13
24;3301;203;2549,52
25;8599;226;4374,3
26;7104;212;5791,6
27;5335;63;4291,72
28;1869;123;4188,44
29;9729;232;1028,62
30;9294;150;2600,25
31;9960;27;4282,01
32;499;90;3236,86
33;4697;25;4246,02
34;5240;37;4831,5
35;2259;35;5167,34
36;8324;19;2876,97
37;188;27;4903,71
38;6442;203;3424,28
39;4160;74;5916,82
40;194;206;1177,03
41;266;6;2017,68
42;8328;119;5680,92
43;3855;210;4998,17
44;313;168;2918,29
45;2824;21;5974,99
46;3881;79;1100,53
47;8918;21;3150,54
48;4335;207;1493,91
49;131;22;1923,74
50;2134;188;1208,68
51;7106;178;5845,06
52;2706;191;2105,74
53;839;126;4664,72
54;4625;191;5840,21
55;2196;33;3953,2
56;778;108;5505,94
57;2946;183;3772,53
58;1989;143;3998,43
59;3118;36;1114,64
60;3406;7;4375,63
61;3403;102;2537,13
62;324;87;3720,11
63;8875;97;2994,04
64;5424;40;4769,65
65;5720;129;4601,77
66;3774;220;1107,98
67;5491;27;4112,59
68;4294;164;2779,71
69;2162;54;4433,13
70;6118;101;5375,87
71;7723;208;5186
72;1276;4;3785,04
73;8935;128;1487,19
74;6739;120;4144,34
75;3597;36;1940,18
76;8397;185;2198,01
77;5600;54;1973,23
78;4203;98;5068,57
79;9914;65;5287,44
80;471;109;2631,76
81;5546;133;2914,17
82;263;168;5191,61
83;9410;43;5838,23
84;5682;17;5978,38
85;3980;215;1207,56
86;3120;143;5335,5
87;340;185;2032,36
88;4022;24;4924,43
89;8844;224;1414,77
90;4939;90;1414,63
91;9574;94;1741,69
92;7661;192;5028,36
93;1260;16;3944,7
94;1703;50;3664,52
95;6121;108;5604,05
96;8616;158;5507,12
97;6668;120;2515,12
98;6692;125;4114,37
99;3176;146;1193,76
100;1653;160;3754,77
101;390;157;5577
102;8323;155;5041,74
103;6511;91;3212,5
104;5841;93;2229,63
105;3715;15;4861,98
106;1402;89;2728,43
107;3200;173;5562,38
108;8641;4;3855,83
109;4383;5;5674,37
110;7868;83;1757,23
111;3388;101;5447,06
112;3367;2;1485,83
113;3711;225;3476,56
114;9203;190;4464,92
115;6958;153;1995,11
116;8268;209;3960,14
117;9695;223;4612,15
118;59;222;4378,41
119;1140;228;5611,65
120;7360;26;5532,11
121;8269;177;1538,65
122;1545;52;3855,38
123;7426;44;1340,04
124;6833;207;3704,81
125;3510;141;2860,06
126;4805;210;2634,74
127;7221;54;2187,48
128;4888;185;3236,44
129;6803;225;4056,26
130;4311;26;2476,87
131;4910;196;5174,9
132;6004;228;5673,35
133;1668;86;2831,01
134;2813;123;1520,41
135;3384;152;1597,3
136;2779;94;5263,3
137;7281;101;5478,69
138;6962;64;1244,99
139;3214;72;5460,46
140;3298;123;4651,87
141;7428;36;5534,3
142;8119;1;1242,58
143;6038;203;3259,35
144;1137;206;2314,05
145;5209;62;3482,54
146;8117;77;5367,71
147;9737;113;1128,44
148;1779;174;4354,29
149;779;211;2687,8
150;3526;147;4100,35
151;5729;116;2138,5
152;7332;197;5703,97
153;6729;151;2198,21
154;4967;50;2584,79
